MSOA11CD,Local authority,covid_19_deaths_per_thousand,total_population_mid_2018,death_rate,over_70_prop,proportion_at_risk_jobs,all_black_prop,Hypertension,Obesity (18+),Diabetes
E02000186,Camden,0.366748166,8180,0.044834739,0.07603912,0.211236574,0.085838194,10.16,4.54,4.33
E02000187,Camden,0.631142368,11091,0.056905813,0.064556848,0.316620879,0.150214592,9.37,4.94,4.52
E02000188,Camden,0.450298323,8883,0.050692145,0.064505235,0.31981227,0.108026917,9.45,4.27,4.73
E02000189,Camden,0.141183114,7083,0.019932672,0.055626147,0.236092266,0.146702557,6.52,3.34,2.87
E02000190,Camden,0.351288056,8540,0.041134433,0.073653396,0.240806223,0.079282869,6.29,3.24,2.65
E02000191,Camden,0,8703,0,0.05297024,0.238278741,0.06362545,4.1,2.26,1.81
E02000192,Camden,0.683060109,8784,0.077761852,0.070924408,0.193168772,0.089842113,6.58,3.66,2.75
E02000193,Camden,0.232693426,8595,0.027073115,0.084700407,0.206406551,0.053997379,7.4,3.84,2.89
E02000194,Croydon,1.381509033,9410,0.146812862,0.077258236,0.246945899,0.207911684,9.16,5.29,3.61
E02000195,Croydon,1.118681989,9833,0.113768127,0.104647615,0.283578759,0.220826049,10.29,6.4,5.26
E02000196,Croydon,1.236552492,8087,0.152906206,0.100160752,0.300999412,0.265703093,10.54,7.98,5.75
E02000197,Croydon,0.521213385,9593,0.054332678,0.091837798,0.287361845,0.276116121,9.5,7.33,5.05
E02000198,Croydon,0.914703865,8746,0.104585395,0.065401326,0.324554184,0.387856258,11.29,7.62,5.94
E02000199,Croydon,0.950796292,8414,0.113001699,0.067149988,0.314908722,0.442111507,10.97,6.68,5.72
E02000200,Croydon,0.226065333,8847,0.025552767,0.084548434,0.294941061,0.341451652,10.27,5.49,4.65
E02000201,Croydon,0.216076059,9256,0.023344432,0.054991357,0.322803292,0.40115928,10.32,5.36,4.82
E02000202,Croydon,1.178411501,8486,0.138865367,0.096040537,0.299345418,0.339494619,10.96,6.95,6.15
E02000203,Croydon,1.259921885,7937,0.158740316,0.079123094,0.309033734,0.400185701,10.84,6.76,6
E02000204,Croydon,1.247401247,9620,0.129667489,0.086278586,0.307878788,0.316253854,11.72,7.11,6.69
E02000206,Croydon,0.391926318,10206,0.03840156,0.072702332,0.311585512,0.384841178,9.61,6.64,5
E02000207,Croydon,0.109217999,9156,0.011928571,0.061489734,0.291913215,0.325147239,10.79,5.99,5.21
E02000208,Croydon,0.458631444,10902,0.04206856,0.052283985,0.331578947,0.332277835,10.86,6.5,6.07
E02000209,Croydon,0.679270916,8833,0.076901496,0.055247368,0.302695418,0.24875208,10.15,6.17,5.91
E02000210,Croydon,0.352443609,8512,0.041405499,0.066611842,0.258465791,0.20709988,11.48,6.19,5.03
E02000211,Croydon,0.617741537,8094,0.076320921,0.160118606,0.278150455,0.088125,14.28,4.72,5.02
E02000212,Croydon,0.214915109,9306,0.023094252,0.04921556,0.327287277,0.243810865,9.75,5.4,5.62
E02000213,Croydon,0.808843354,11127,0.072691952,0.044306642,0.29373246,0.293686525,9.93,5.99,5.23
E02000214,Croydon,0.960768615,6245,0.153846055,0.12570056,0.256877898,0.125561257,12.06,6.37,5
E02000215,Croydon,0.706651356,11321,0.062419517,0.078968289,0.221505751,0.145845218,9.78,5.75,4.28
E02000216,Croydon,0.720357297,6941,0.103782927,0.153868319,0.18253487,0.077916296,7.58,4.37,3.48
E02000217,Croydon,0.163907556,12202,0.013432843,0.046058023,0.280691299,0.201589595,8.17,5.28,4.26
E02000218,Croydon,0.44234739,6782,0.065223738,0.099528163,0.303877052,0.213855422,12.7,5.91,4.69
E02000219,Croydon,1.194426012,7535,0.158517055,0.20066357,0.239255765,0.074551132,14.2,4.58,4.91
E02000220,Croydon,0.941619586,12744,0.073887287,0.061283741,0.245570073,0.152919745,7.92,4.85,3.74
E02000221,Croydon,1.199926158,10834,0.110755599,0.086025475,0.276566757,0.198574338,9.38,6.49,4.57
E02000222,Croydon,0.120148985,8323,0.014435779,0.088309504,0.224760164,0.097706248,9.91,5.3,4.17
E02000223,Croydon,0,8635,0,0.067863347,0.354444045,0.252896906,11.42,6.1,5.04
E02000224,Croydon,0.623752495,8016,0.077813435,0.07759481,0.242035188,0.116866216,11.48,5.25,4.56
E02000225,Croydon,0.788539887,7609,0.103632526,0.095676173,0.314934069,0.138686131,11.62,6.17,5.4
E02000226,Croydon,0.398989227,7519,0.053064134,0.164649554,0.248636009,0.063138347,13.22,5.5,4.74
E02000227,Croydon,0.261051166,11492,0.022715904,0.127131918,0.28588395,0.089387433,13.37,5.77,4.99
E02000228,Croydon,1.544401544,7770,0.198764678,0.182368082,0.215169446,0.038375608,12.61,5.2,4.66
E02000229,Croydon,1.030776027,6791,0.151785603,0.096745693,0.336662505,0.150611861,11.02,5.84,5.24
E02000230,Croydon,0.569476082,10536,0.054050501,0.12746773,0.223720746,0.079442509,12.07,4.97,4.48
E02000231,Croydon,0.262191924,7628,0.034372303,0.155610907,0.233096554,0.054651919,12.94,4.85,4.62
E02000232,Croydon,0.476266074,6299,0.075609791,0.163200508,0.252200406,0.044949251,12.56,4.79,4.73
E02000233,Croydon,0.153256705,6525,0.023487618,0.109425287,0.240107311,0.079054605,11.39,4.7,4.15
E02000234,Croydon,0.57123272,8753,0.065261364,0.116988461,0.245311328,0.078399601,12.35,4.96,4.28
E02000235,Croydon,0.422773393,7096,0.059579114,0.130777903,0.225961538,0.057405281,11.24,4.38,3.92
E02000236,Croydon,0.623908161,8014,0.077852279,0.115672573,0.242493639,0.041389215,14.39,4.91,4.77
E02000237,Croydon,0.390370852,7685,0.050796467,0.179700716,0.264976959,0.043210702,13.84,5.5,4.51
E02000238,Ealing,0.424808836,9416,0.045115637,0.083050127,0.262789217,0.136210526,11.3,6.37,5.58
E02000239,Ealing,0.226680267,8823,0.025691972,0.10993993,0.262433862,0.092777778,12.98,6.89,6.75
E02000240,Ealing,0.78794445,10153,0.077607057,0.080961292,0.313769752,0.1730151,11.22,6.49,5.85
E02000241,Ealing,1.046337818,6690,0.156403261,0.091330344,0.277346085,0.119144449,12.26,7.16,6.18
E02000242,Ealing,0.874380647,6862,0.127423586,0.082628971,0.258568851,0.070087239,11.83,6.52,6.67
E02000243,Ealing,0.826739105,8467,0.097642507,0.10062596,0.262768496,0.124338935,11.55,6.74,6.15
E02000244,Ealing,0.266844563,7495,0.03560301,0.092461641,0.273283662,0.084495259,10.84,6.92,5.78
E02000245,Ealing,0.82928563,8441,0.098244951,0.069186115,0.319332738,0.204757234,11.23,7.21,5.92
E02000246,Ealing,0.115233925,8678,0.013278857,0.078589537,0.313088109,0.189414723,12.12,6.2,6
E02000247,Ealing,1.999048072,10505,0.190294914,0.093479296,0.302361854,0.164629414,12.14,7.12,6.63
E02000248,Ealing,0.390828557,7676,0.050915654,0.083637311,0.228289132,0.058358331,8.94,4.12,3.95
E02000249,Ealing,1.739130435,7475,0.23265959,0.115585284,0.27993439,0.116047144,12.71,6.7,6.95
E02000250,Ealing,1.428571429,6300,0.22675737,0.126190476,0.198275862,0.025127177,11.74,5.13,3.78
E02000251,Ealing,0.401337793,7475,0.053690675,0.09993311,0.287344398,0.106998993,14.33,7.73,8.57
E02000252,Ealing,0,11431,0,0.0545884,0.255993499,0.176282712,7.69,5.07,3.77
E02000253,Ealing,0.966391066,9313,0.103767966,0.106732524,0.298793995,0.152512458,12.34,7,5.51
